Provenance;Terms involved;Ontology;Result
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["SimpleTypeVariable","Variable"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","represents","Function"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","represents","Function"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["AreaNetwork","netTechnologyProfile","string"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["AreaNetwork","netTechnologyCommunicationProtocol","string"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["AreaNetwork","netTechnologyPhysicalStandard","string"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["InterworkedDevice"];ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["InterworkedDevice","isPartOf","AreaNetwork"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["InterworkedDevice"];ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","hasSubService"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","offers","Service"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Variable"];ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasOutput","OperationOutput","Command"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Command","hasInput","OperationInput","Operation"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","hasFunction","Function"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","PhysicalEntity","VirtualEntity"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","isPartOf","AreaNetwork"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Variable","hasMetaData","MetaData"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Property","hasMetaData","MetaData"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Property"];ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Thing","hasThingRelation"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Thing","hasThingProperty","ThingProperty"]';ISO/IEC 30141:2017;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Thing"];ISO/IEC 30141:2017;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["SimpleTypeVariable","hasDataType","string"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["OutputDataPoint","Variable"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Command","hasOutput","OperationOutput"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Command","hasInput","OperationInput"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasInput","OperationInput"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","oneM2MTargetURI","string"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","oneM2MMethod","string"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["SimpleTypeVariable","hasDataRestriction","string"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasOutput","OperationOutput"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasOutput","OperationOutput"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasInput","OperationInput"]';ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Operation"];ISO/IEC 30141:2017;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Variable","hasMetaData","MetaData"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Meter","Device","Applicance","FunctionRelated","Actuator","Lighting","HVAC"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["BuildingRelated","Device","EneryRelated","FunctionRelated"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["BuildingObject","specify","Space","BuildingSpace","SpatialThing"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["BuildingObject","openedby","Actuator","closedby"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Meter","FunctionRelated"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["DimmerLamp","control","Light"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["DimmerLamp","performs","LevelControl"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["DimmerLamp","Actuator","Lighting"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Time","consistsOf","TemporalEntity"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Power","isMeasuredIn","PowerUnit"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Price","isMeasuredIn","Currency"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Device","control","BuildingObject"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["BuildingSpace","contains","Devices","BuildingObjects"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["BuildingSpace","define","PhysicalSpace"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Device","hasDescription","string"]';ISO/IEC 30141:2017;passed
https://w3id.org/saref#;'["Device","hasModel","string"]';ISO/IEC 30141:2017;passed
https://w3id.org/saref#;'["Device","hasModel","string"]';ISO/IEC 30141:2017;passed
https://w3id.org/saref#;'["EnergyMeter","Device","WashingMachine","TemperatureSensor"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Device","hasFunction","Function"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;["Device"];ISO/IEC 30141:2017;passed
https://w3id.org/saref#;'["EnergyMeter","hasFunction","MeteringFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;["Function"];ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["DoorSwitch","accomplishes","Safety"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["DoorSwitch","hasFunction","OpenCloseFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Switch","consistsOf","Actuator"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Switch","Actuator"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["SmokeSensor","measuresProperty","Smoke"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["SmokeSensor","hasFunction","EventFunction","SensingFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["SmokeSensor","consistsOf","Sensor"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["SmokeSensor","Sensor"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["WashingMachine","hasFunction","StartStopFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Washing","Task","WashingMachine","accomplishes"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Device","hasProfile","Profile"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Device","hasProfile","Profile"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Service","isOfferedBy","Device"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Service","isOfferedBy","Device"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Profile","hasTime","Time"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Energy","isMeasuredIn","EnergyUnit"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Profile","hasPrice","Price"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Service","isOfferedBy","Device"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;["Service"];ISO/IEC 30141:2017;passed
https://w3id.org/saref#;'["Device","hasState","State"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Command","actsUpon","State"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Device","offers","Service"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["ActuatingFunction","Function","MeteringFunction","SensingFunction","EventFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Service","represent","Function"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Device","Appliance","Load"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["TemperatureSensor","hasFunction","SensingFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["TemperatureSensor","consistsOf","Sensor"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["TemperatureSensor","Sensor"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Sensor","hasFunction","SensingFunction"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Sensor","Device"]';ISO/IEC 30141:2017;passed
https://w3id.org/saref#;'["Device","consistsOf"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Device","control","BuildingObject"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Temperature","Property","Smoke","Energy"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Device","notify","Property"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["OffCommand","Command","OnCommand","CloseCommand","ToggleCommand"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Function","hasCommand","Command"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["MeteringFunction","Function","SensingFunction","EventFunction","ActuatingFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["LevelControlFuntion","ActuatingFunction","OnOffFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Meter","hasFunction","MeteringFunction"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["EnergyMeter","Meter"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["EnergyMeter","consistsOf","Meter"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;[];ISO/IEC 30141:2017;passed
https://w3id.org/saref#;'["Device","measuresProperty","Property"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Device","hasFunction","SensingFunction"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["Water","Commodity","Gas"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Device","isUsedFor","Commodity"]';ISO/IEC 30141:2017;absent
https://w3id.org/saref#;'["EneryRelated","Device","FunctionRelated","BuildingRelated"]';ISO/IEC 30141:2017;undefined
https://w3id.org/saref#;'["Load","EnergyRelated","Generator","Storage"]';ISO/IEC 30141:2017;undefined
