Provenance;Terms involved;Ontology;Requirement description;Result
Open Connectivity Foundation (OCF);'["Transportation","Device"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Fitness","Device"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Medica","Device"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["PersonalHealth","Device"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Device","hasRole","Role"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Device","consistsOf","Resource"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Resource","consistsOf"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Device","exposes","Resource"]';Open Connectivity Foundation (OCF);;absent
ISO/IEC 30141:2017;'["Gateway","exposes","Link"]';Open Connectivity Foundation (OCF);IoT gateways expose endpoints;undefined
ISO/IEC 30141:2017;'["Gateway","interactsThrough","Network"]';Open Connectivity Foundation (OCF);IoT gateways interact through networks;undefined
ISO/IEC 30141:2017;'["Gateway","DigitalThing"]';Open Connectivity Foundation (OCF);An IoT gateway is a digital entity ;undefined
ISO/IEC 30141:2017;'["Service","exposes","Link"]';Open Connectivity Foundation (OCF);A service exposes one or more endpoints by which it can be invoked;undefined
ISO/IEC 30141:2017;'["Network","connects","Link"]';Open Connectivity Foundation (OCF);A network connects endpoints;undefined
ISO/IEC 30141:2017;'["Thing","thingName","string"]';Open Connectivity Foundation (OCF);An entity can have more than one identifier;undefined
ISO/IEC 30141:2017;'["Thing","thingName","string"]';Open Connectivity Foundation (OCF);An entity  has an identifier;undefined
ISO/IEC 30141:2017;'["DataStore","holds","IoTSystem"]';Open Connectivity Foundation (OCF);Data Stores hold data relating to IoT systems ;undefined
ISO/IEC 30141:2017;'["Device","areConnectedWith","Gateway"]';Open Connectivity Foundation (OCF);IoT devices are connected with an IoT gateway ;absent
ISO/IEC 30141:2017;'["Device","interactsThrough","Network"]';Open Connectivity Foundation (OCF);IoT devices interact through a network;absent
ISO/IEC 30141:2017;'["HumanUser","Person","VirtualUser","Agent"]';Open Connectivity Foundation (OCF);The IoT-User can be human (human user) or non-human (digital user);undefined
ISO/IEC 30141:2017;'["Actuator","Device","Sensor"]';Open Connectivity Foundation (OCF);Actuators and sensors are kinds of IoT device;undefined
ISO/IEC 30141:2017;'["VirtualThing","represents","PhysicalThing"]';Open Connectivity Foundation (OCF);A virtual entity represents a physical entity;undefined
ISO/IEC 30141:2017;'["PhysicalThing","hasTag","Tag"]';Open Connectivity Foundation (OCF);A physical entity may have one or more  attached tag;undefined
ISO/IEC 30141:2017;'["PhysicalThing","actsOnFeatureProperty","FeatureProperty"]';Open Connectivity Foundation (OCF);A physical entity is controlled by an actuator;undefined
