Ontology;Value;Term
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;http://www.w3.org/2001/XMLSchema#boolean;boolean
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasCommand;hasCommand
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_minExclusive;hasDataRestriction_minExclusive
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;http://www.w3.org/2001/XMLSchema#integer;integer
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_minInclusive;hasDataRestriction_minInclusive
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#oneM2MAttribute;attribute
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Operation;Operation
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#OutputDataPoint;OutputDataPoint
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasService;hasService
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#StructuredTypeVariable;StructuredTypeVariable
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasOutputDataPoint;hasOutputDataPoint
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasThingProperty;hasThingProperty
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasSubStructure;hasSubStructure
https://git.onem2m.org/MAS/BaseOntology/raw/3_6_0/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#exposesFunction;exposesFunction
https://w3id.org/saref;https://w3id.org/saref#Cleaning;Cleaning
https://w3id.org/saref;https://w3id.org/saref#GetCurrentMeterValueCommand;GetCurrentMeterValueCommand
https://w3id.org/saref;https://w3id.org/saref#isControlledByDevice;isControlledByDevice
https://w3id.org/saref;http://www.w3.org/2006/time#TemporalUnit;TemporalUnit
https://w3id.org/saref;https://w3id.org/saref#OnOffState;OnOffState
https://w3id.org/saref;https://w3id.org/saref#isMeasuredIn;isMeasuredIn
https://w3id.org/saref;https://w3id.org/saref#Storage;Storage
https://w3id.org/saref;https://w3id.org/saref#hasMeterReadingType;hasMeterReadingType
https://w3id.org/saref;https://w3id.org/saref#NotifyCommand;NotifyCommand
https://w3id.org/saref;https://w3id.org/saref#Sensor;Sensor
https://w3id.org/saref;https://w3id.org/saref#PauseCommand;PauseCommand
https://w3id.org/saref;https://w3id.org/saref#BuildingRelated;BuildingRelated
https://w3id.org/saref;https://w3id.org/saref#actsUpon;actsUpon
https://w3id.org/saref;https://w3id.org/saref#OffCommand;OffCommand
https://w3id.org/saref;https://w3id.org/saref#measuresProperty;measuresProperty
https://w3id.org/saref;https://w3id.org/saref#hasTypicalConsumption;hasTypicalConsumption
https://w3id.org/saref;https://w3id.org/saref#OpenState;OpenState
https://w3id.org/saref;https://w3id.org/saref#Lighting;Lighting
https://w3id.org/saref;https://w3id.org/saref#UnitOfMeasure;UnitOfMeasure
https://w3id.org/saref;http://purl.org/dc/terms/source;source
https://w3id.org/saref;https://w3id.org/saref#Multimedia;Multimedia
https://w3id.org/saref;https://w3id.org/saref#Pause;Pause
https://w3id.org/saref;http://purl.org/dc/terms/created;created
https://w3id.org/saref;https://w3id.org/saref#SetAbsoluteLevel;SetAbsoluteLevel
https://w3id.org/saref;https://w3id.org/saref#hasManufacturer;hasManufacturer
https://w3id.org/saref;https://w3id.org/saref#controlsProperty;controlsProperty
https://w3id.org/saref;https://w3id.org/saref#Power;Power
https://w3id.org/saref;https://w3id.org/saref#Smoke;Smoke
https://w3id.org/saref;https://w3id.org/saref#SetAbsoluteLevelCommand;SetAbsoluteLevelCommand
https://w3id.org/saref;https://w3id.org/saref#SetRelativeLevel;SetRelativeLevel
https://w3id.org/saref;https://w3id.org/saref#Property;Property
https://w3id.org/saref;https://w3id.org/saref#Command;Command
https://w3id.org/saref;http://www.wurvoc.org/vocabularies/om-1.8/lux;lux
https://w3id.org/saref;https://w3id.org/saref#hasValue;hasValue
https://w3id.org/saref;https://w3id.org/saref#OnCommand;OnCommand
https://w3id.org/saref;https://w3id.org/saref#EventFunction;EventFunction
https://w3id.org/saref;https://w3id.org/saref#MeterReading;MeterReading
https://w3id.org/saref;http://www.wurvoc.org/vocabularies/om-1.8/bar;bar
https://w3id.org/saref;http://www.wurvoc.org/vocabularies/om-1.8/euro;euro
https://w3id.org/saref;http://www.w3.org/2001/XMLSchema#float;float
https://w3id.org/saref;http://purl.org/dc/terms/publisher;publisher
https://w3id.org/saref;https://w3id.org/saref#hasMeterReading;hasMeterReading
https://w3id.org/saref;https://w3id.org/saref#StartCommand;StartCommand
https://w3id.org/saref;https://w3id.org/saref#represents;represents
https://w3id.org/saref;https://w3id.org/saref#Entertainment;Entertainment
https://w3id.org/saref;https://w3id.org/saref#WellBeing;WellBeing
https://w3id.org/saref;https://w3id.org/saref#Notify;Notify
https://w3id.org/saref;https://w3id.org/saref#Stop;Stop
https://w3id.org/saref;https://w3id.org/saref#isCommandOf;isCommandOf
https://w3id.org/saref;https://w3id.org/saref#EnergyEfficiency;EnergyEfficiency
https://w3id.org/saref;https://w3id.org/saref#StepUpCommand;StepUpCommand
https://w3id.org/saref;http://www.w3.org/2000/01/rdf-schema#label;label
https://w3id.org/saref;https://w3id.org/saref#isAccomplishedBy;isAccomplishedBy
https://w3id.org/saref;https://w3id.org/saref#isUsedFor;isUsedFor
https://w3id.org/saref;https://w3id.org/saref#OffState;OffState
https://w3id.org/saref;https://w3id.org/saref#Off;Off
https://w3id.org/saref;https://w3id.org/saref#State;State
https://w3id.org/saref;https://w3id.org/saref#watt_hour;watt_hour
https://w3id.org/saref;http://purl.org/dc/terms/contributor;contributor
https://w3id.org/saref;https://w3id.org/saref#Device;Device
https://w3id.org/saref;https://w3id.org/saref#LevelControlFunction;LevelControlFunction
https://w3id.org/saref;https://w3id.org/saref#Appliance;Appliance
https://w3id.org/saref;https://w3id.org/saref#isOfferedBy;isOfferedBy
https://w3id.org/saref;http://www.wurvoc.org/vocabularies/om-1.8/kilowatt_hour;kilowatt_hour
https://w3id.org/saref;http://www.wurvoc.org/vocabularies/om-1.8/kelvin;kelvin
https://w3id.org/saref;https://w3id.org/saref#EnergyRelated;EnergyRelated
https://w3id.org/saref;https://w3id.org/saref#LightingDevice;LightingDevice
https://w3id.org/saref;https://w3id.org/saref#SetRelativeLevelCommand;SetRelativeLevelCommand
https://w3id.org/saref;https://w3id.org/saref#StepUp;StepUp
https://w3id.org/saref;https://w3id.org/saref#Generator;Generator
https://w3id.org/saref;http://www.w3.org/2000/01/rdf-schema#comment;comment
https://w3id.org/saref;https://w3id.org/saref#StopState;StopState
https://w3id.org/saref;https://w3id.org/saref#Drying;Drying
https://w3id.org/saref;http://purl.org/dc/terms/title;title
https://w3id.org/saref;https://w3id.org/saref#Pressure;Pressure
https://w3id.org/saref;https://w3id.org/saref#EnergyUnit;EnergyUnit
https://w3id.org/saref;http://purl.org/dc/terms/license;license
https://w3id.org/saref;http://purl.org/dc/terms/description;description
https://w3id.org/saref;https://w3id.org/saref#OnState;OnState
https://w3id.org/saref;https://w3id.org/saref#Currency;Currency
https://w3id.org/saref;https://w3id.org/saref#relatesToProperty;relatesToProperty
https://w3id.org/saref;https://w3id.org/saref#Safety;Safety
https://w3id.org/saref;https://w3id.org/saref#hasTimestamp;hasTimestamp
https://w3id.org/saref;https://w3id.org/saref#Humidity;Humidity
https://w3id.org/saref;https://w3id.org/saref#hasSensingRange;hasSensingRange
https://w3id.org/saref;http://purl.org/dc/terms/modified;modified
https://w3id.org/saref;https://w3id.org/saref#hasThresholdMeasurement;hasThresholdMeasurement
https://w3id.org/saref;https://w3id.org/saref#GetCurrentMeterValue;GetCurrentMeterValue
https://w3id.org/saref;https://w3id.org/saref#On;On
https://w3id.org/saref;http://www.wurvoc.org/vocabularies/om-1.8/kilowatt;kilowatt
https://w3id.org/saref;https://w3id.org/saref#ToggleCommand;ToggleCommand
https://w3id.org/saref;https://w3id.org/saref#StopCommand;StopCommand
https://w3id.org/saref;https://w3id.org/saref#hasDescription;hasDescription
https://w3id.org/saref;https://w3id.org/saref#SmokeSensor;SmokeSensor
https://w3id.org/saref;https://w3id.org/saref#TemperatureUnit;TemperatureUnit
https://w3id.org/saref;https://w3id.org/saref#Washing;Washing
https://w3id.org/saref;https://w3id.org/saref#Light;Light
